"filename","unplatted_property","abstract_no","county","propertyid","geographicid"
"00398.txt","","","","",""
"11012 - 2022 Easement from Finestead for Lot 8 Chapman Hills (filed 10-19-2022).txt","","","","",""
"11012 - 2022 Easement from Surles for Lot 2 Chapman (filed 10-19-2022).txt","","","","R000055187","111419.001.002.00"
"1201 Springfield Road LLC 961585_1201 Springfield Road LLC 961585.txt","","","","",""
"12999 - 2022 Easement from Cate for 25 acres (filed 12-08-2022).txt","","347","Parker","184992/R00014989","20347.002.001.00/72372.004.001"
"13135 - 2022 Easement from Burgess for 12.13 acres (filed 10-27-2022).txt","12.13","2328","PARKER","R000076500 & R000080855 22328.010.006.10","22328.010.006.00 &"
"1627 KP Ltd 939071.txt","","","","",""
"18441 - 2022 Easement from Thevenot for Lot 6 (filed 11-17-2022).txt","","","","R000033929","19590.000.006.00"
"200112 - 2023 Easement from Dimas for 3 acres (filed 04-20-2023).txt","3.00","1373","PARKER","R000123230","21373.008.001.00"
"200112 - 2023 Easement from Nick Dimas for 7 acres (filed 04-20-2023).txt","7.00","1373","PARKER","R000053969","21373,008.000.50"
"2022 Dry Creek Ranch 967363_2022 Dry Creek Ranch.txt","","","","",""
"2022 Easement from DVBC for 3.48 acres (filed 11-17-2022).txt","3.4857","582","PARKER","R000078085, R000078170","20582.010.002.00. 20582.010.003.00"
"2022 Easement from Essman for defined 0.092 (filed 12-01-2022).txt","","","","R000072073","14753.001.044.00"
"2022 Easement from Knox Street Partners for 0.076 acres (filed 12-12-2022).txt","","","","",""
"2022 Easement from Royal Crest for Lots 7-8 Zion Valley (filed 12-27-2022).txt","","","","19945.001.007.00 & 19945.001.008.00","R000121174 & R000121175"
"2022 Easement from Thunder Punch for Lots 1-6 Zion Valley (filed 12-27-2022).txt","","","","",""
"20226 - 2022 Easement from Kahn for 4.79 acres (filed 12-08-2022).txt","4.79","521","TARRANT","03883175","TAD Map:

 2090-464"
"2023 Easement from Orion Development (filed 01-23-2023).txt","","","","",""
"22109 - 2022 Easement from Parker for 1 acre (filed 11-17-2022).txt","/","1524","Pirker","R000121212","21524,001.005.00"
"22693 - 2022 Easement from Choate for Lot 2 Morrow Estates (filed 10-26-2022).txt","","","","R000028342","R0630.0002.00"
"22693 - 2022 Easement from McCurdy for (filed 12-08-2022).txt","48.9324","625","PARKER","","A0625.0017.08"
"22830 - 2022 Easement from Currie for 4 acres (filed 10-19-2022).txt","","1489","Parkeir","ROOOnST55","214897002.005.00"
"22830 - 2022 Easement from Wolf for 65 acres (filed 10-19-2022).txt","65.01","1489","Parker","",""
"23512 - 2023 Easement from AISD for 23 acres (filed 03_02_2023).txt","23.895","1884","PARKER","",""
